2020-03-03 16:26:52,088 Time, PID, Interaction Style, Mode, Event-type, ID, Alive?, Center
2020-03-03 16:28:00,915 , P4, SSt, Food, Death, 0, False, (-500, -500)
2020-03-03 16:28:01,379 , P4, SSt, Food, Movement, 0, True, (-500, -500)
2020-03-03 16:28:01,412 , P4, SSt, Food, Death, 0, False, (-500, -500)
2020-03-03 16:28:02,174 , P4, SSt, Food, Movement, 0, True, (-500, -500)
2020-03-03 16:28:02,207 , P4, SSt, Food, Death, 0, False, (-500, -500)
2020-03-03 16:28:02,670 , P4, SSt, Food, Movement, 0, True, (-500, -500)
2020-03-03 16:28:02,703 , P4, SSt, Food, Movement, 0, True, (1614, 627)
2020-03-03 16:28:02,769 , P4, SSt, Food, Death, 0, False, (-500, -500)
2020-03-03 16:28:03,899 , P4, SSt, Food, Switch, 0, False, (-500, -500)
2020-03-03 16:28:03,900 , P4, SSt, City, Switch, 0, False, (-500, -500)
2020-03-03 16:28:05,825 , P4, SSt, City, Switch, 0, False, (-500, -500)
2020-03-03 16:28:05,825 , P4, SSt, Enter, Switch, 0, False, (-500, -500)
2020-03-03 16:28:06,491 , P4, SSt, Enter, Switch, 0, False, (-500, -500)
2020-03-03 16:28:06,492 , P4, SSt, Vacation, Switch, 0, False, (-500, -500)
2020-03-03 16:28:07,760 , P4, SSt, Vacation, Movement, 0, True, (-500, -500)
2020-03-03 16:28:07,793 , P4, SSt, Vacation, Movement, 0, True, (1356, 394)
2020-03-03 16:28:07,793 , P4, SSt, Vacation, Finish, 0, True, (1357, 391)
2020-03-03 16:31:35,028 PID, Interaction Style, Mode, Event-type, ID, Alive?, Center
2020-03-03 16:31:51,446 P4, SM, Drag, Switch, 0, False, (-500, -500)
2020-03-03 16:31:51,446 P4, SM, Group, Switch, 0, False, (-500, -500)
2020-03-03 16:31:52,420 P4, SM, Group, Switch, 0, False, (-500, -500)
2020-03-03 16:31:52,420 P4, SM, Pan, Switch, 0, False, (-500, -500)
2020-03-03 16:31:53,698 P4, SM, Pan, Switch, 0, False, (-500, -500)
2020-03-03 16:31:53,698 P4, SM, Group, Switch, 0, False, (-500, -500)
2020-03-03 16:31:57,251 P4, SM, Group, Movement, 0, True, (-500, -500)
2020-03-03 16:31:57,293 P4, SM, Group, Movement, 0, True, (347, 868)
2020-03-03 16:31:57,327 P4, SM, Group, Movement, 0, True, (348, 868)
2020-03-03 16:31:57,366 P4, SM, Group, Movement, 0, True, (348, 868)
2020-03-03 16:31:57,366 P4, SM, Group, Movement, 0, True, (348, 868)
2020-03-03 16:31:57,399 P4, SM, Group, Movement, 0, True, (347, 868)
2020-03-03 16:31:57,432 P4, SM, Group, Death, 0, False, (-500, -500)
2020-03-03 16:31:58,502 P4, SM, Group, Movement, 0, True, (-500, -500)
2020-03-03 16:31:58,535 P4, SM, Group, Movement, 0, True, (356, 876)
2020-03-03 16:31:58,568 P4, SM, Group, Death, 0, False, (-500, -500)
2020-03-03 16:31:58,634 P4, SM, Group, Movement, 0, True, (-500, -500)
2020-03-03 16:31:58,667 P4, SM, Group, Movement, 0, True, (355, 874)
2020-03-03 16:31:58,700 P4, SM, Group, Movement, 0, True, (356, 873)
2020-03-03 16:31:58,733 P4, SM, Group, Movement, 0, True, (352, 873)
2020-03-03 16:31:58,766 P4, SM, Group, Movement, 0, True, (352, 872)
2020-03-03 16:31:58,799 P4, SM, Group, Movement, 0, True, (352, 872)
2020-03-03 16:31:58,832 P4, SM, Group, Movement, 0, True, (352, 872)
2020-03-03 16:31:58,865 P4, SM, Group, Movement, 0, True, (352, 872)
2020-03-03 16:31:58,898 P4, SM, Group, Movement, 0, True, (352, 872)
2020-03-03 16:31:58,930 P4, SM, Group, Movement, 0, True, (352, 872)
2020-03-03 16:31:58,964 P4, SM, Group, Death, 0, False, (-500, -500)
2020-03-03 16:32:00,176 P4, SM, Group, Movement, 0, True, (-500, -500)
2020-03-03 16:32:00,210 P4, SM, Group, Movement, 0, True, (343, 870)
2020-03-03 16:32:00,245 P4, SM, Group, Movement, 0, True, (346, 868)
2020-03-03 16:32:00,312 P4, SM, Group, Movement, 0, True, (345, 867)
2020-03-03 16:32:00,349 P4, SM, Group, Movement, 0, True, (345, 867)
2020-03-03 16:32:00,381 P4, SM, Group, Movement, 0, True, (346, 866)
2020-03-03 16:32:00,382 P4, SM, Group, Movement, 0, True, (346, 866)
2020-03-03 16:32:00,415 P4, SM, Group, Movement, 0, True, (346, 866)
2020-03-03 16:32:00,448 P4, SM, Group, Movement, 0, True, (346, 866)
2020-03-03 16:32:00,481 P4, SM, Group, Movement, 0, True, (346, 866)
2020-03-03 16:32:00,514 P4, SM, Group, Movement, 0, True, (346, 866)
2020-03-03 16:32:00,547 P4, SM, Group, Movement, 0, True, (346, 866)
2020-03-03 16:32:00,580 P4, SM, Group, Movement, 0, True, (346, 866)
2020-03-03 16:32:00,612 P4, SM, Group, Death, 0, False, (-500, -500)
2020-03-03 16:32:00,891 P4, SM, Group, Movement, 0, True, (-500, -500)
2020-03-03 16:32:00,925 P4, SM, Group, Movement, 0, True, (362, 875)
2020-03-03 16:32:00,958 P4, SM, Group, Movement, 0, True, (357, 876)
2020-03-03 16:32:00,991 P4, SM, Group, Movement, 0, True, (358, 874)
2020-03-03 16:32:01,023 P4, SM, Group, Movement, 0, True, (358, 876)
2020-03-03 16:32:01,057 P4, SM, Group, Movement, 0, True, (356, 877)
2020-03-03 16:32:01,090 P4, SM, Group, Movement, 0, True, (354, 876)
2020-03-03 16:32:01,123 P4, SM, Group, Movement, 0, True, (354, 876)
2020-03-03 16:32:01,156 P4, SM, Group, Movement, 0, True, (354, 876)
2020-03-03 16:32:01,189 P4, SM, Group, Movement, 0, True, (354, 874)
2020-03-03 16:32:01,223 P4, SM, Group, Movement, 0, True, (354, 874)
2020-03-03 16:32:01,266 P4, SM, Group, Movement, 0, True, (351, 874)
2020-03-03 16:32:01,289 P4, SM, Group, Movement, 0, True, (352, 873)
2020-03-03 16:32:01,323 P4, SM, Group, Movement, 0, True, (352, 873)
2020-03-03 16:32:01,358 P4, SM, Group, Movement, 0, True, (352, 874)
2020-03-03 16:32:01,391 P4, SM, Group, Movement, 0, True, (352, 878)
2020-03-03 16:32:01,425 P4, SM, Group, Death, 0, False, (-500, -500)
2020-03-03 16:32:02,689 P4, SM, Group, Switch, 0, False, (-500, -500)
2020-03-03 16:32:02,693 P4, SM, Drag, Switch, 0, False, (-500, -500)
2020-03-03 16:32:03,759 P4, SM, Drag, Movement, 0, True, (349, 894)
2020-03-03 16:32:03,827 P4, SM, Drag, Movement, 0, True, (349, 894)
